id,group,match_id,match_id_wyscout,home_id,home_id_wyscout,home,home_score,away_score,away,away_id_wyscout,away_id,home_starts_left
01,A,2036161,5544194,47,3148,Germany,5,1,Scotland,8664,117,-1
02,A,2036162,5544195,57,10451,Hungary,1,3,Switzerland,6697,128,1
03,B,2036163,5544196,122,1598,Spain,3,0,Croatia,9598,56370,1
04,B,2036164,5544197,66,3757,Italy,2,1,Albania,8731,2,-1
05,C,2036165,5544198,57163,12046,Slovenia,1,1,Denmark,7712,35,1
06,C,2036166,5544199,147,17322,Serbia,0,1,England,2413,39,1
07,D,2036167,5544200,109,13869,Poland,1,2,Netherlands,664,95,1
08,D,2036168,5544201,8,9109,Austria,0,1,France,4418,43,-1
09,E,2036169,5544202,13,5629,Belgium,0,1,Slovakia,14496,58836,-1
10,E,2036170,5544203,113,11944,Romania,3,0,Ukraine,14622,57166,-1
11,F,2036171,5544204,135,4687,Türkiye,3,1,Georgia,15874,57157,-1
12,F,2036172,5544205,110,9905,Portugal,2,1,Czechia,11555,58837,-1
13,A,2036173,5544206,47,3148,Scotland,2,0,Switzerland,10451,57,1
14,A,2036174,5544207,117,8664,Germany,1,1,Hungary,6697,128,1
15,B,2036176,5544208,56370,9598,Croatia,2,2,Albania,8731,2,1
16,B,2036175,5544209,122,1598,Spain,1,0,Italy,3757,66,1
17,C,2036177,5544211,57163,12046,Slovenia,1,1,Serbia,17322,147,-1
18,C,2036178,5544210,35,7712,Denmark,1,1,England,2413,39,-1
19,D,2036179,5544212,109,13869,Poland,1,3,Austria,9109,8,1
20,D,2036180,5544213,95,664,Netherlands,0,0,France,4418,43,-1
21,E,2036182,5544214,58836,14496,Slovakia,1,2,Ukraine,14622,57166,1
22,E,2036181,5544215,13,5629,Belgium,2,0,Romania,11944,113,1
23,F,2036183,5544216,135,4687,Georgia,0,3,Czechia,9905,110,-1
24,F,2036184,5544217,57157,15874,Türkiye,1,1,Portugal,11555,58837,-1
25,A,2036185,5544218,47,3148,Germany,1,1,Switzerland,6697,128,-1
26,A,2036186,5544219,117,8664,Scotland,0,1,Hungary,10451,57,1
27,B,2036187,5544221,2,8731,Albania,0,1,Spain,1598,122,1
28,B,2036188,5544220,56370,9598,Croatia,1,1,Italy,3757,66,-1
29,C,2036189,5544222,39,2413,England,0,0,Slovenia,12046,57163,-1
30,C,2036190,5544223,35,7712,Denmark,0,0,Serbia,17322,147,-1
31,D,2036192,5544224,95,664,Netherlands,2,3,Austria,9109,8,1
32,D,2036191,5544225,43,4418,France,1,1,Poland,13869,109,1
33,E,2036194,5544226,58836,14496,Slovakia,1,1,Romania,11944,113,1
34,E,2036193,5544227,57166,14622,Ukraine,0,0,Belgium,5629,13,-1
35,F,2036196,5544229,57157,15874,Georgia,2,0,Portugal,9905,110,1
36,F,2036195,5544228,58837,11555,Czechia,1,2,Türkiye,4687,135,1
37,L16,2036197,5544231,47,3148,Germany,2,0,Denmark,7712,35,-1
38,L16,2036198,5544230,128,6697,Switzerland,2,0,Italy,3757,66,-1
39,L16,2036199,5544233,122,1598,Spain,4,1,Georgia,15874,57157,-1
40,L16,2036200,5544232,39,2413,England,2,1,Slovakia,14496,58836,1
41,L16,2036201,5544235,110,9905,Portugal,3,0,Slovenia,12046,57163,-1
42,L16,2036202,5544234,43,4418,France,1,0,Belgium,5629,13,1
43,L16,2036203,5544236,113,11944,Romania,0,3,Netherlands,664,95,-1
44,L16,2036204,5544237,8,9109,Austria,1,2,Türkiye,4687,135,-1
45,QF,2036205,5544238,122,1598,Spain,2,1,Germany,3148,47,-1
46,QF,2036206,5544239,43,4418,France,0,0,Portugal,9905,110,1
47,QF,2036207,5544241,95,664,Netherlands,2,1,Türkiye,4687,135,-1
48,QF,2036208,5544240,39,2413,England,1,1,Switzerland,6697,128,1
49,SF,2036209,5544242,122,1598,Spain,2,1,France,4418,43,1
50,SF,2036210,5544243,95,664,Netherlands,1,2,England,2413,39,-1
51,F,2036211,5544244,122,1598,Spain,2,1,England,2413,39,-1
